,ID,Gender,Age,Customer Type,Type of Travel,Class,Flight Distance,Departure Delay,Arrival Delay,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort,Leg Room Service,Cleanliness,Food and Drink,In-flight Service,In-flight Wifi Service,In-flight Entertainment,Baggage Handling,Satisfaction
0,1,male,48, First-time ,business, Business ,821 miles,2 minutes,5.0 minutes,3,3,4,3,3,3,5,2,5,5,5,3,5,5,Neutral or Dissatisfied
1,2,FEMALE,35,returning,Business,Business,821 miles,26 minutes,39.0 minutes,2,2,3,5,2,5,4,5,5,3,5,2,5,5,Satisfied
2,3,Male,41,Returning,Business,Business,853 miles,0 minutes,0.0 minutes,4,4,4,5,4,3,5,3,5,5,3,4,3,3,Satisfied
3,4,Male,50,Returning,business, Business ,1905 miles,0 minutes,0.0 minutes,2,2,3,4,2,5,5,5,4,4,5,2,5,5,Satisfied
4,5,Female,49,returning,business, Business ,3470 miles,0 minutes,1.0 minutes,3,3,3,5,3,3,4,4,5,4,3,3,3,3,Satisfied
5,6,male,43,returning,business, Business ,3788 miles,0 minutes,0.0 minutes,4,4,3,5,4,4,4,4,3,3,4,4,4,4,Satisfied
6,7,male,43,returning,Business,Business,1963 miles,0 minutes,0.0 minutes,3,3,4,4,3,5,5,5,4,5,5,3,5,5,Satisfied
7,8,Female,60,Returning,business,Business,853 miles,0 minutes,3.0 minutes,3,4,3,4,4,3,4,4,4,4,3,4,3,3,Satisfied
8,9,male,50,returning,Business,Business,2607 miles,0 minutes,0.0 minutes,1,1,3,2,1,4,3,4,3,3,4,4,4,4,Neutral or Dissatisfied
9,10,FEMALE,38,Returning,business, Business ,2822 miles,13 minutes,0.0 minutes,2,5,3,5,2,5,4,5,4,2,5,2,5,5,Satisfied
10,11,FEMALE,28,First-time,business,Business,821 miles,0 minutes,5.0 minutes,1,1,3,1,3,2,2,5,2,2,4,1,2,3,Neutral or Dissatisfied
11,12,FEMALE,27,First-time,business,Business,421 miles,20 minutes,21.0 minutes,2,2,1,2,4,2,2,5,1,1,3,1,1,4,Neutral or Dissatisfied
12,13,Male,24,First-time,business,ECONOMY,453 miles,16 minutes,30.0 minutes,2,2,2,2,4,2,5,4,5,5,4,2,5,4,Neutral or Dissatisfied
13,14,Male,9,returning,Personal,Business,853 miles,68 minutes,76.0 minutes,5,1,5,1,2,4,5,3,5,5,5,1,5,4,Neutral or Dissatisfied
14,15,Male,52,returning,Personal,Economy,853 miles,0 minutes,0.0 minutes,4,2,3,2,4,3,2,3,2,2,5,2,2,5,Neutral or Dissatisfied
15,16,male,70,Returning,Personal,Economy,821 miles,0 minutes,0.0 minutes,5,2,4,2,1,4,5,2,5,5,5,2,5,4,Neutral or Dissatisfied
16,17,Female,48,returning,Personal,ECONOMY,821 miles,0 minutes,0.0 minutes,3,2,5,5,3,5,1,2,2,1,5,2,5,5,Neutral or Dissatisfied
17,18,FEMALE,61,Returning,PERSONAL,ECONOMY,821 miles,0 minutes,0.0 minutes,5,2,5,1,1,5,5,2,1,4,5,2,5,5,Neutral or Dissatisfied
18,19,Female,11,Returning,Personal,ECONOMY,853 miles,0 minutes,0.0 minutes,5,3,5,3,2,3,5,2,5,5,5,3,5,4,Neutral or Dissatisfied
